yourlist:M201501042EL1V9A9QJ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
NP_001673,P20020,AT2B1_HUMAN,reviewed,Plasma membrane calcium-transporting ATPase 1 (PMCA1) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 1) (Plasma membrane calcium pump isoform 1),ATP2B1 PMCA1,Homo sapiens (Human),1258
NP_055082,O00193,SMAP_HUMAN,reviewed,Small acidic protein,SMAP C11orf58,Homo sapiens (Human),183
NP_849199,Q8IZV2,CKLF8_HUMAN,reviewed,CKLF-like MARVEL transmembrane domain-containing protein 8 (Chemokine-like factor superfamily member 8),CMTM8 CKLFSF8,Homo sapiens (Human),173
NP_001028229,Q96QZ7,MAGI1_HUMAN,reviewed,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3) (AIP-3) (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3) (WWP3)",MAGI1 AIP3 BAIAP1 BAP1 TNRC19,Homo sapiens (Human),1491
NP_002378,P23508,CRCM_HUMAN,reviewed,Colorectal mutant cancer protein (Protein MCC),MCC,Homo sapiens (Human),829
NP_079255,O15068,MCF2L_HUMAN,reviewed,Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein),MCF2L KIAA0362,Homo sapiens (Human),1137
NP_005582,P49959,MRE11_HUMAN,reviewed,Double-strand break repair protein MRE11A (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A),MRE11A HNGS1 MRE11,Homo sapiens (Human),708
NP_055491,Q14671,PUM1_HUMAN,reviewed,Pumilio homolog 1 (HsPUM) (Pumilio-1),PUM1 KIAA0099 PUMH1,Homo sapiens (Human),1186
NP_055596,Q8TDY2,RBCC1_HUMAN,reviewed,RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200),RB1CC1 KIAA0203 RBICC,Homo sapiens (Human),1594
NP_000446,Q15831,STK11_HUMAN,reviewed,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),STK11 LKB1 PJS,Homo sapiens (Human),433
NP_057712,Q9BTA9,WAC_HUMAN,reviewed,WW domain-containing adapter protein with coiled-coil,WAC KIAA1844,Homo sapiens (Human),647
NP_077007,Q9BQA1,MEP50_HUMAN,reviewed,Methylosome protein 50 (MEP-50) (Androgen receptor cofactor p44) (WD repeat-containing protein 77) (p44/Mep50),WDR77 MEP50 WD45 HKMT1069 Nbla10071,Homo sapiens (Human),342
NP_036434,O95490,LPHN2_HUMAN,reviewed,Latrophilin-2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Lectomedin-1),LPHN2 KIAA0786 LEC1 LPHH1,Homo sapiens (Human),1459
NP_055568,Q14692,BMS1_HUMAN,reviewed,Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog),BMS1 BMS1L KIAA0187,Homo sapiens (Human),1282
NP_036231,O15446,RPA34_HUMAN,reviewed,DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CAST) (CD3E-associated protein) (RNA polymerase I-associated factor PAF49),CD3EAP ASE1 CAST PAF49,Homo sapiens (Human),510
NP_003016,Q6FGM0,Q6FGM0_HUMAN,unreviewed,"SH3 domain GRB2-like 1 (SH3-domain GRB2-like 1) (SH3-domain GRB2-like 1, isoform CRA_b) (SH3GL1 protein) (cDNA, FLJ96508, Homo sapiens SH3-domain GRB2-like 1 (SH3GL1), mRNA)",SH3GL1 hCG_21932,Homo sapiens (Human),368
NP_003016,Q99961,SH3G1_HUMAN,reviewed,Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1),SH3GL1 CNSA1 SH3D2B,Homo sapiens (Human),368
NP_003944,A8K5D4,A8K5D4_HUMAN,unreviewed,"Myelin protein zero-like 1, isoform CRA_b (cDNA FLJ78597, highly similar to Homo sapiens myelin protein zero-like 1 (MPZL1), transcript variant 1, mRNA) (cDNA, FLJ96614, Homo sapiens myelin protein zero-like 1 (MPZL1), mRNA)",MPZL1 hCG_42390,Homo sapiens (Human),269
NP_003944,O95297,MPZL1_HUMAN,reviewed,Myelin protein zero-like protein 1 (Protein zero-related),MPZL1 PZR UNQ849/PRO1787,Homo sapiens (Human),269
NP_848927,Q86UE4,LYRIC_HUMAN,reviewed,Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein),MTDH AEG1 LYRIC,Homo sapiens (Human),582
NP_004427,O43768,ENSA_HUMAN,reviewed,Alpha-endosulfine (ARPP-19e),ENSA,Homo sapiens (Human),121
NP_116093,Q9BQE3,TBA1C_HUMAN,reviewed,Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain),TUBA1C TUBA6,Homo sapiens (Human),449
NP_036252,Q9Y5K6,CD2AP_HUMAN,reviewed,CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains),CD2AP,Homo sapiens (Human),639
NP_110517,Q8WYA6,CTBL1_HUMAN,reviewed,Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19),CTNNBL1 C20orf33 PP8304,Homo sapiens (Human),563
NP_001265,O14757,CHK1_HUMAN,reviewed,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),CHEK1 CHK1,Homo sapiens (Human),476
NP_005795,O00148,DX39A_HUMAN,reviewed,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),DDX39A DDX39,Homo sapiens (Human),427
NP_057306,Q9UJV9,DDX41_HUMAN,reviewed,Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog),DDX41 ABS,Homo sapiens (Human),622
NP_542987,Q9BTC0,DIDO1_HUMAN,reviewed,Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1),DIDO1 C20orf158 DATF1 KIAA0333,Homo sapiens (Human),2240
NP_000494,B3KXR1,B3KXR1_HUMAN,unreviewed,"cDNA FLJ45899 fis, clone OCBBF3025503, highly similar to Eyes absent homolog 1 (EC 3.1.3.48)",,Homo sapiens (Human),470
NP_000494,Q99502,EYA1_HUMAN,reviewed,Eyes absent homolog 1 (EC 3.1.3.16) (EC 3.1.3.48),EYA1,Homo sapiens (Human),592
"NP_002122,NP_665906",P17096,HMGA1_HUMAN,reviewed,High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R),HMGA1 HMGIY,Homo sapiens (Human),107
NP_005337,A8K5I0,A8K5I0_HUMAN,unreviewed,"Epididymis secretory protein Li 103 (Heat shock 70kDa protein 1A) (Heat shock 70kDa protein 1B) (cDNA FLJ75127, highly similar to Homo sapiens heat shock 70kDa protein 1A, mRNA)",HSPA1A HEL-S-103 HSPA1B hCG_1820593 hCG_43726,Homo sapiens (Human),641
NP_005337,P08107,HSP71_HUMAN,reviewed,Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2) (HSP70-1/HSP70-2) (HSP70.1/HSP70.2),HSPA1A HSPA1 HSX70; HSPA1B,Homo sapiens (Human),641
NP_002257,P52292,IMA1_HUMAN,reviewed,Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha),KPNA2 RCH1 SRP1,Homo sapiens (Human),529
NP_002257,Q7Z726,Q7Z726_HUMAN,unreviewed,Importin subunit alpha,KPNA2,Homo sapiens (Human),529
NP_002364,P78559,MAP1A_HUMAN,reviewed,Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2],MAP1A MAP1L,Homo sapiens (Human),2803
NP_002364,Q504X9,Q504X9_HUMAN,unreviewed,MAP1A protein (Fragment),MAP1A,Homo sapiens (Human),627
NP_064579,Q9GZY8,MFF_HUMAN,reviewed,Mitochondrial fission factor,MFF C2orf33 AD030 AD033 GL004,Homo sapiens (Human),342
NP_009160,Q9UNF0,PACN2_HUMAN,reviewed,Protein kinase C and casein kinase substrate in neurons protein 2 (Syndapin-2) (Syndapin-II),PACSIN2,Homo sapiens (Human),486
NP_005768,A8K6Q4,A8K6Q4_HUMAN,unreviewed,"cDNA FLJ76888, highly similar to Homo sapiens RNA binding motif protein 6 (RBM6), mRNA",,Homo sapiens (Human),1123
NP_005768,P78332,RBM6_HUMAN,reviewed,RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3),RBM6 DEF3,Homo sapiens (Human),1123
NP_001071638,B4DYH0,B4DYH0_HUMAN,unreviewed,"cDNA FLJ56975, highly similar to Ran-binding protein 2-like 6",,Homo sapiens (Human),1756
NP_001071638,P0DJD1,RGPD2_HUMAN,reviewed,RANBP2-like and GRIP domain-containing protein 2 (Ran-binding protein 2-like 2) (RanBP2-like 2) (RanBP2L2),RGPD2 RANBP2L2 RGP2,Homo sapiens (Human),1756
NP_009149,Q8WU17,RN139_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF139 (EC 6.3.2.-) (RING finger protein 139) (Translocation in renal carcinoma on chromosome 8 protein),RNF139 TRC8,Homo sapiens (Human),664
NP_612430,G1UCX3,G1UCX3_HUMAN,unreviewed,Synoviocyte proliferation-associated in collagen-induced arthritis 1,SPACIA1,Homo sapiens (Human),474
NP_612430,Q96ER3,SAAL1_HUMAN,reviewed,Protein SAAL1,SAAL1,Homo sapiens (Human),474
NP_057216,Q9P2K5,MYEF2_HUMAN,reviewed,Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156),MYEF2 KIAA1341,Homo sapiens (Human),600
NP_002819,P17706,PTN2_HUMAN,reviewed,Tyrosine-protein phosphatase non-receptor type 2 (EC 3.1.3.48) (T-cell protein-tyrosine phosphatase) (TCPTP),PTPN2 PTPT,Homo sapiens (Human),415
NP_002819,Q59F91,Q59F91_HUMAN,unreviewed,"Protein tyrosine phosphatase, non-receptor type 2 isoform 1 variant (Fragment)",,Homo sapiens (Human),392
NP_036347,O60502,OGA_HUMAN,reviewed,Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (EC 3.2.1.-) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT),MGEA5 HEXC KIAA0679 MEA5,Homo sapiens (Human),916
NP_113584,Q7Z6Z7,HUWE1_HUMAN,reviewed,"E3 ubiquitin-protein ligase HUWE1 (EC 6.3.2.-) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272,Homo sapiens (Human),4374
NP_057195,B4DXS2,B4DXS2_HUMAN,unreviewed,cDNA FLJ58340,,Homo sapiens (Human),431
NP_057195,Q9Y4R8,TELO2_HUMAN,reviewed,Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2),TELO2 KIAA0683,Homo sapiens (Human),837
"NP_001026855,NP_005417",Q13625,ASPP2_HUMAN,reviewed,Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2),TP53BP2 ASPP2 BBP,Homo sapiens (Human),1128
NP_060444,Q17RG0,Q17RG0_HUMAN,unreviewed,ATG16L1 protein (Fragment),ATG16L1,Homo sapiens (Human),580
NP_060444,Q676U5,A16L1_HUMAN,reviewed,Autophagy-related protein 16-1 (APG16-like 1),ATG16L1 APG16L UNQ9393/PRO34307,Homo sapiens (Human),607
NP_001073315,Q92793,CBP_HUMAN,reviewed,CREB-binding protein (EC 2.3.1.48),CREBBP CBP,Homo sapiens (Human),2442
NP_001894,P35221,CTNA1_HUMAN,reviewed,Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13),CTNNA1,Homo sapiens (Human),906
NP_006823,Q96AC1,FERM2_HUMAN,reviewed,Fermitin family homolog 2 (Kindlin-2) (Mitogen-inducible gene 2 protein) (MIG-2) (Pleckstrin homology domain-containing family C member 1) (PH domain-containing family C member 1),FERMT2 KIND2 MIG2 PLEKHC1,Homo sapiens (Human),680
NP_003529,B2R4R0,B2R4R0_HUMAN,unreviewed,Histone H4,HIST1H4J HIST1H4H HIST1H4L hCG_1640981,Homo sapiens (Human),103
NP_003529,P62805,H4_HUMAN,reviewed,Histone H4,HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4,Homo sapiens (Human),103
"NP_005901,NP_058525",P10636,TAU_HUMAN,reviewed,Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau),MAPT MAPTL MTBT1 TAU,Homo sapiens (Human),758
NP_002573,B3KN69,B3KN69_HUMAN,unreviewed,"cDNA FLJ13804 fis, clone THYRO1000197, highly similar to Poly(A)-specific ribonuclease PARN (EC 3.1.13.4)",,Homo sapiens (Human),351
NP_002573,O95453,PARN_HUMAN,reviewed,Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease),PARN DAN,Homo sapiens (Human),639
NP_056181,P85299,PRR5_HUMAN,reviewed,Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1),PRR5 PROTOR1 PP610,Homo sapiens (Human),388
NP_055464,Q14151,SAFB2_HUMAN,reviewed,Scaffold attachment factor B2 (SAF-B2),SAFB2 KIAA0138,Homo sapiens (Human),953
NP_003192,E5KSU5,E5KSU5_HUMAN,unreviewed,"Mitochondrial transcription factor A (Transcription factor A, mitochondrial, isoform CRA_c)",TFAM hCG_40210,Homo sapiens (Human),246
NP_003192,Q00059,TFAM_HUMAN,reviewed,"Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)",TFAM TCF6 TCF6L2,Homo sapiens (Human),246
NP_055362,Q9NYL9,TMOD3_HUMAN,reviewed,Tropomodulin-3 (Ubiquitous tropomodulin) (U-Tmod),TMOD3,Homo sapiens (Human),352
NP_002813,Q12792,TWF1_HUMAN,reviewed,Twinfilin-1 (Protein A6) (Protein tyrosine kinase 9),TWF1 PTK9,Homo sapiens (Human),350
NP_003452,Q15942,ZYX_HUMAN,reviewed,Zyxin (Zyxin-2),ZYX,Homo sapiens (Human),572
NP_003452,Q96AF9,Q96AF9_HUMAN,unreviewed,ZYX protein (Fragment),ZYX,Homo sapiens (Human),466
NP_071375,Q8WVB6,CTF18_HUMAN,reviewed,Chromosome transmission fidelity protein 18 homolog (hCTF18) (CHL12),CHTF18 C16orf41 CTF18,Homo sapiens (Human),975
NP_001742,P49589,SYCC_HUMAN,reviewed,"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)",CARS,Homo sapiens (Human),748
"NP_065741,NP_060448",Q8IWZ3,ANKH1_HUMAN,reviewed,Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK),ANKHD1 KIAA1085 MASK VBARP PP2500,Homo sapiens (Human),2542
NP_065947,Q9H0X9,OSBL5_HUMAN,reviewed,Oxysterol-binding protein-related protein 5 (ORP-5) (OSBP-related protein 5) (Oxysterol-binding protein homolog 1),OSBPL5 KIAA1534 OBPH1 ORP5,Homo sapiens (Human),879
NP_055726,Q2M2I8,AAK1_HUMAN,reviewed,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),AAK1 KIAA1048,Homo sapiens (Human),961
NP_065970,A8K4R4,A8K4R4_HUMAN,unreviewed,"cDNA FLJ75533, highly similar to Homo sapiens amyotrophic lateral sclerosis 2 (juvenile) (ALS2), mRNA (Fragment)",,Homo sapiens (Human),1104
NP_065970,Q96Q42,ALS2_HUMAN,reviewed,Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein),ALS2 ALS2CR6 KIAA1563,Homo sapiens (Human),1657
NP_004059,Q96CW1,AP2M1_HUMAN,reviewed,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),AP2M1 CLAPM1 KIAA0109,Homo sapiens (Human),435
NP_055530,A7KAX9,RHG32_HUMAN,reviewed,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP),ARHGAP32 GRIT KIAA0712 RICS,Homo sapiens (Human),2087
NP_060952,Q9ULH1,ASAP1_HUMAN,reviewed,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)",ASAP1 DDEF1 KIAA1249,Homo sapiens (Human),1129
NP_054828,Q6PL18,ATAD2_HUMAN,reviewed,ATPase family AAA domain-containing protein 2 (EC 3.6.1.3) (AAA nuclear coregulator cancer-associated protein) (ANCCA),ATAD2 L16 PRO2000,Homo sapiens (Human),1390
NP_115565,E9PEJ6,E9PEJ6_HUMAN,unreviewed,Probable phospholipid-transporting ATPase IH,ATP11A,Homo sapiens (Human),1191
NP_115565,P98196,AT11A_HUMAN,reviewed,Probable phospholipid-transporting ATPase IH (EC 3.6.3.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A),ATP11A ATPIH ATPIS KIAA1021,Homo sapiens (Human),1134
NP_115565,Q659C3,Q659C3_HUMAN,unreviewed,Putative uncharacterized protein DKFZp434P0831 (Fragment),DKFZp434P0831,Homo sapiens (Human),351
NP_115565,Q6PJ25,Q6PJ25_HUMAN,unreviewed,ATP11A protein (Fragment),ATP11A,Homo sapiens (Human),934
NP_775965,Q8NB49,AT11C_HUMAN,reviewed,Phospholipid-transporting ATPase IG (EC 3.6.3.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C),ATP11C ATPIG ATPIQ,Homo sapiens (Human),1132
"NP_277021,NP_277022",B7ZVY7,B7ZVY7_HUMAN,unreviewed,Cell division cycle 2-like 1 (PITSLRE proteins) (Cyclin-dependent kinase 11B),CDC2L1 CDK11B,Homo sapiens (Human),782
NP_277022,P21127,CD11B_HUMAN,reviewed,Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1),CDK11B CDC2L1 CDK11 PITSLREA PK58,Homo sapiens (Human),795
NP_004362,P53621,COPA_HUMAN,reviewed,Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin],COPA,Homo sapiens (Human),1224
NP_061973,Q9NPF5,DMAP1_HUMAN,reviewed,DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1),DMAP1 KIAA1425,Homo sapiens (Human),467
NP_002047,Q06210,GFPT1_HUMAN,reviewed,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),GFPT1 GFAT GFPT,Homo sapiens (Human),699
NP_079487,Q5VSY0,GKAP1_HUMAN,reviewed,G kinase-anchoring protein 1 (cGMP-dependent protein kinase-anchoring protein of 42 kDa),GKAP1 GKAP42 FKSG21,Homo sapiens (Human),366
NP_116190,Q9BX67,JAM3_HUMAN,reviewed,Junctional adhesion molecule C (JAM-C) (JAM-2) (Junctional adhesion molecule 3) (JAM-3),JAM3 UNQ859/PRO1868,Homo sapiens (Human),310
NP_689618,Q8N9B5,JMY_HUMAN,reviewed,Junction-mediating and -regulatory protein,JMY,Homo sapiens (Human),988
NP_569831,Q8WXG6,MADD_HUMAN,reviewed,MAP kinase-activating death domain protein (Differentially expressed in normal and neoplastic cells) (Insulinoma glucagonoma clone 20) (Rab3 GDP/GTP exchange factor),MADD DENN IG20 KIAA0358,Homo sapiens (Human),1647
NP_004676,Q9Y217,MTMR6_HUMAN,reviewed,Myotubularin-related protein 6 (EC 3.1.3.-),MTMR6,Homo sapiens (Human),621
NP_004289,O75694,NU155_HUMAN,reviewed,Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155),NUP155 KIAA0791,Homo sapiens (Human),1391
NP_002604,O15530,PDPK1_HUMAN,reviewed,3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1),PDPK1 PDK1,Homo sapiens (Human),556
NP_056444,F1T0A5,F1T0A5_HUMAN,unreviewed,"PRP31 pre-mRNA processing factor 31 homolog (Yeast), isoform CRA_a (U4/U6 small nuclear ribonucleoprotein Prp31)",PRPF31 hCG_20945,Homo sapiens (Human),499
NP_056444,Q8WWY3,PRP31_HUMAN,reviewed,U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31),PRPF31 PRP31,Homo sapiens (Human),499
NP_000359,Q86WV8,Q86WV8_HUMAN,unreviewed,Hamartin (Tuberous sclerosis 1),TSC1,Homo sapiens (Human),366
NP_000359,Q92574,TSC1_HUMAN,reviewed,Hamartin (Tuberous sclerosis 1 protein),TSC1 KIAA0243 TSC,Homo sapiens (Human),1164
NP_000359,X5D9D2,X5D9D2_HUMAN,unreviewed,Tuberous sclerosis 1 isoform A (Fragment),TSC1,Homo sapiens (Human),1164
NP_064703,Q9UK58,CCNL1_HUMAN,reviewed,Cyclin-L1 (Cyclin-L),CCNL1 BM-001 UNQ530/PRO1073,Homo sapiens (Human),526
NP_065946,Q96CP6,GRM1A_HUMAN,reviewed,GRAM domain-containing protein 1A,GRAMD1A KIAA1533,Homo sapiens (Human),724
NP_056079,Q6ICG6,K0930_HUMAN,reviewed,Uncharacterized protein KIAA0930,KIAA0930 C22orf9,Homo sapiens (Human),404
NP_054831,Q9UHF7,TRPS1_HUMAN,reviewed,Zinc finger transcription factor Trps1 (Tricho-rhino-phalangeal syndrome type I protein) (Zinc finger protein GC79),TRPS1,Homo sapiens (Human),1281
NP_001093115,Q6P5R6,RL22L_HUMAN,reviewed,60S ribosomal protein L22-like 1,RPL22L1,Homo sapiens (Human),122
NP_004095,P49327,FAS_HUMAN,reviewed,Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],FASN FAS,Homo sapiens (Human),2511
NP_795352,Q8NI35,INADL_HUMAN,reviewed,InaD-like protein (Inadl protein) (hINADL) (Pals1-associated tight junction protein) (Protein associated to tight junctions),INADL PATJ,Homo sapiens (Human),1801
NP_055828,O60341,KDM1A_HUMAN,reviewed,Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2),KDM1A AOF2 KDM1 KIAA0601 LSD1,Homo sapiens (Human),852
NP_055853,O94854,K0754_HUMAN,reviewed,Uncharacterized protein KIAA0754,KIAA0754,Homo sapiens (Human),1291
NP_859065,Q86VQ0,LCA5_HUMAN,reviewed,Lebercilin (Leber congenital amaurosis 5 protein),LCA5 C6orf152,Homo sapiens (Human),697
NP_775106,Q5TKA1,LIN9_HUMAN,reviewed,Protein lin-9 homolog (HuLin-9) (hLin-9) (Beta subunit-associated regulator of apoptosis) (TUDOR gene similar protein) (Type I interferon receptor beta chain-associated protein) (pRB-associated protein),LIN9 BARA TGS,Homo sapiens (Human),542
NP_079199,Q8TEM1,PO210_HUMAN,reviewed,Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa),NUP210 KIAA0906 PSEC0245,Homo sapiens (Human),1887
NP_055844,Q96F88,Q96F88_HUMAN,unreviewed,"Processing of 1, ribonuclease P/MRP subunit (S. cerevisiae)",POP1,Homo sapiens (Human),1024
NP_055844,Q99575,POP1_HUMAN,reviewed,Ribonucleases P/MRP protein subunit POP1 (hPOP1) (EC 3.1.26.5),POP1 KIAA0061,Homo sapiens (Human),1024
NP_056392,Q9P0K7,RAI14_HUMAN,reviewed,Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14),RAI14 KIAA1334 NORPEG,Homo sapiens (Human),980
NP_065746,Q8N1G1,REXO1_HUMAN,reviewed,RNA exonuclease 1 homolog (EC 3.1.-.-) (Elongin-A-binding protein 1) (EloA-BP1) (Transcription elongation factor B polypeptide 3-binding protein 1),REXO1 ELOABP1 KIAA1138 TCEB3BP1,Homo sapiens (Human),1221
